id,title,director,year,runtime,synopsis
601,E.T. the Extra-Terrestrial,Steven Spielberg,1982,115,"""After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien."""
329,Jurassic Park,Steven Spielberg,1993,127,"""A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape."""
555974,Brahms: The Boy II,William Brent Bell,2020,86,"""After a family moves into the Heelshire Mansion, their young son soon makes friends with a life-like doll called Brahms."""
542224,Gretel & Hansel,Oz Perkins,2020,87,"""A long time ago in a distant fairy tale countryside, a young girl leads her little brother into a dark wood in desperate search of food and work, only to stumble upon a nexus of terrifying evil."""
27322,Love Jones,Theodore Witcher,1997,104,"""Darius Lovehall is a young black poet in Chicago who starts dating Nina Moseley, a beautiful and talented photographer. While trying to figure out if they've got a \""love thing\"" or are just \""kicking it,\"" they hang out with their friends, talking about love and sex. Then Nina tests the strength of Darius' feelings and sets a chain of romantic complications into motion."""
361292,Suspiria,Dario Argento,1977,152,"""A darkness swirls at the center of a world-renowned dance company, one that will engulf the troupe's artistic director, an ambitious young dancer and a grieving psychotherapist. Some will succumb to the nightmare, others will finally wake up."""
324857,Spider-Man: Into the Spider-Verse,Rodney Rothman,2018,117,"""Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson \""Kingpin\"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension."""
539537,Fantasy Island,Jeff Wadlow,2020,109,"""A group of contest winners arrive at an island hotel to live out their dreams, only to find themselves trapped in nightmare scenarios."""
338967,Zombieland: Double Tap,Ruben Fleischer,2020,99,"""Columbus, Tallahassee, Wichita, and Little Rock move to the American heartland as they face off against evolved zombies, fellow survivors, and the growing pains of the snarky makeshift family."""
514847,The Hunt,Craig Zobel,2020,90,"""Twelve strangers wake up in a clearing. They don't know where they are—or how they got there. In the shadow of a dark internet conspiracy theory, ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted turns the tables on her pursuers."""
570670,The Invisible Man,Leigh Whannell,2020,124,"""When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see."""
446893,Trolls World Tour,Walt Dohrn,2020,91,"""Queen Poppy and Branch make a surprising discovery — there are other Troll worlds beyond their own, and their distinct differences create big clashes between these various tribes. When a mysterious threat puts all of the Trolls across the land in danger, Poppy, Branch, and their band of friends must embark on an epic quest to create harmony among the feuding Trolls to unite them against certain doom."""
